year\variable,category,area_prefix,area,party_name,population_est,party_membership,cp_membership_num,pct_of_pop,status,sino_soviet,pub_names,pub_circs,date_founded,party_leader,pct_vote,vote_as_of,seats_txt,seats_controlled,total_seats,seats_pct,leg_text,last_congress
1975,,,China,,838000000,28000000,28000000,0.033412888,,,,,,,,,,,,,,
1975,,,India,,590000000,90000*2 + 10000 + 150,190150,0.000322288,,,,,,,,,,,,,,
1975,,,Indonesia,,N/A,4000,4000,,,,,,,,,,,,,,,
1975,,,Japan,,110000000,330000,330000,0.003,,,,,,,,,,,,,,
1975,,,People's Democratic Republic of Korea,,14700000,2000000,2000000,0.136054422,,,,,,,,,,,,,,
1975,,,Laos,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1975,,,Malaysia,,N/A,3400,3400,,,,,,,,,,,,,,,
1975,,,Mongolia,,1400000,58048,58048,0.041462857,,,,,,,,,,,,,,
1975,,,Nepal,,N/A,5000,5000,,,,,,,,,,,,,,,
1975,,,New Zealand,,3000000,100,100,3.33E-05,,,,,,,,,,,,,,
1975,,,Pakistan,,N/A,negligible,0,,,,,,,,,,,,,,,
1975,,,Philippines,,N/A,1200-1500 + 3400,4750,,,,,,,,,,,,,,,
1975,,,Singapore,,2130000,600,600,0.00028169,,,,,,,,,,,,,,
1975,,,Sri Lanka,,12800000,2000+1000,3000,0.000234375,,,,,,,,,,,,,,
1975,,,Thailand,,36000000,7800-8800 (8300),8300,0.000230556,,,,,,,,,,,,,,
1975,,,North Vietnam,,N/A,1100000,1100000,,,,,,,,,,,,,,,
1975,,,South Vietnam,,18000000,175000,175000,0.009722222,,,,,,,,,,,,,,
1975,,,Argentina,,24350000,126000 + 4000,130000,0.005338809,,,,,,,,,,,,,,
1975,,,Bolivia,,5000000,450,450,0.00009,,,,,,,,,,,,,,
1975,,,Brazil,,100000000,7000 + 700,7700,0.000077,,,,,,,,,,,,,,
1975,,,Canada,,22000000,2000-3000,2500,0.000113636,,,,,,,,,,,,,,
1975,,,Chile,,N/A,255000,255000,,,,,,,,,,,,,,,
1975,,,Colombia,,25000000,10000-12000,11000,0.00044,,,,,,,,,,,,,,
1975,,,Costa Rica,,1800000,1000,1000,0.000555556,,,,,,,,,,,,,,
1975,,,Cuba,,9000000,200000,200000,0.022222222,,,,,,,,,,,,,,
1975,,,Dominican Republic,,4300000,3000,3000,0.000697674,,,,,,,,,,,,,,
1975,,,Ecuador,,6300000,600,600,9.52E-05,,,,,,,,,,,,,,
1975,,,El Salvador,,N/A,200,200,,,,,,,,,,,,,,,
1975,,,Guadeloupe,,335000,3000,3000,0.008955224,,,,,,,,,,,,,,
1975,,,Guatemala,,5310000,1050,1050,0.00019774,,,,,,,,,,,,,,
1975,,,Guyana,,N/A,20000,20000,,,,,,,,,,,,,,,
1975,,,Haiti,,5400000,200,200,3.70E-05,,,,,,,,,,,,,,
1975,,,Honduras,,N/A,650,650,,,,,,,,,,,,,,,
1975,,,Martinique,,335000,1000,1000,0.002985075,,,,,,,,,,,,,,
1975,,,Mexico,,52640000,125000,125000,0.00237462,,,,,,,,,,,,,,
1975,,,Nicaragua,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1975,,,Panama,,N/A,500,500,,,,,,,,,,,,,,,
1975,,,Paraguay,,2500000,3000-4000,3500,0.0014,,,,,,,,,,,,,,
1975,,,Peru,,14460000,3200,3200,0.0002213,,,,,,,,,,,,,,
1975,,,Puerto Rico,,N/A,16700,16700,,,,,,,,,,,,,,,
1975,,,USA,,N/A,16000,16000,,,,,,,,,,,,,,,
1975,,,Uruguay,,2900000,30000,30000,0.010344828,,,,,,,,,,,,,,
1975,,,Venezuela,,10970000,6000,6000,0.000546946,,,,,,,,,,,,,,
1975,,,Egypt,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1975,,,Iran,,30550000,300,300,9.82E-06,,,,,,,,,,,,,,
1975,,,Iraq,,N/A,2000-3000,2500,,,,,,,,,,,,,,,
1975,,,Israel,,3300000,1500*2,3000,0.000909091,,,,,,,,,,,,,,
1975,,,Jordan,,2575000,400,400,0.00015534,,,,,,,,,,,,,,
1975,,,Lebanon,,2960000,3000-6000,4500,0.00152027,,,,,,,,,,,,,,
1975,,,Algeria,,N/A,400,400,,,,,,,,,,,,,,,
1975,,,Morocco,,,300,300,,,,,,,,,,,,,,,
1975,,,Tunisia,,,100,100,,,,,,,,,,,,,,,
1975,,,Reunion,,470000,800,800,0.001702128,,,,,,,,,,,,,,
1975,,,South Africa,,21448000,300,300,1.40E-05,,,,,,,,,,,,,,
1975,,,Sudan,,N/A,5000-10000,7500,,,,,,,,,,,,,,,
1975,,,Syria,,6680000,3000-4000,3500,0.000523952,In power,chinese,,,,,,,,,,,,
1976,Eastern Europe and the Soviet Union,,Albania,,2378000,100000 plus,100000,0.042052145,In power,soviet,,,,,,,,,,,,
,,,Bulgaria,,8741000,700000 plus,700000,0.08008237,In power,soviet,,,,,,,,,,,,
,,,Czechoslovakia,,14804000,1100000 plus,1100000,0.074304242,In power,soviet,,,,,,,,,,,,
,,,East Germany,,17050000,1900000 plus,1900000,0.11143695,In power,soviet,,,,,,,,,,,,
,,,Hungary,,10510000,754353,754353,0.071774786,In power,soviet,,,,,,,,,,,,
,,,Poland,,34022000,2453000,2453000,0.072100406,In power,soviet,,,,,,,,,,,,
,,,Romania,,21100000,2500000 (1974),2500000,0.118483412,In power,neutral,,,,,,,,,,,,
,,,USSR,,254300000,15000000 plus,15000000,0.05898545,In power,--,,,,,,,,,,,,
,,,Yugoslavia,,21352000,1192446,1192446,0.05584704,In power,independent,,,,,,,,,,,,
1976,Asia and the Pacific,,Australia,,13574000,2300,2300,0.000169442,legal,split,,,,,,,,,,,,
,,,Bangladesh,,73746000,2500,2500,3.39E-05,proscribed,soviet,,,,,,,,,,,,
,,,Burma,,30429000,6500,6500,0.000213612,proscribed,chinese,,,,,,,,,,,,
,,,Cambodia,,7634000,10000,10000,0.001309929,In power,chinese,,,,,,,,,,,,
,,,China,,942012000,28000000 (1973),28000000,0.029723613,In power,--,,,,,,,,,,,,
,,,India,CPI; CPI(M),600297000,355000; 106000,461000,0.000767953,legal; legal,soviet; neutral,,,,,,,,,,,,
,,,Indonesia,,131166000,800,800,6.10E-06,proscribed,split,,,,,,,,,,,,
,,,Japan,,110932000,330000,330000,0.002974795,legal,independent,,,,,,,,,,,,
,,,North Korea,,16507000,2000000,2000000,0.12116072,In power,neutral,,,,,,,,,,,,
,,,Laos,,3336000,unknown,N/A,,In power,neutral,,,,,,,,,,,,
,,,Malaysia,,11860000,3000 insurgents,3000,0.000252951,proscribed,chinese,,,,,,,,,,,,
,,,Mongolia,,1444000,58000 (1972),58000,0.040166205,In power,soviet,,,,,,,,,,,,
,,,Nepal,,12550000,5000,5000,0.000398406,proscribed,factions,,,,,,,,,,,,
,,,New Zealand,CPNZ; SUP,3092000,100; 120,220,7.12E-05,legal; legal,split; split,,,,,,,,,,,,
,,,Pakistan,,70938000,800 (1973),800,1.13E-05,proscribed,chinese,,,,,,,,,,,,
,,,Philippines,,42845000,2000 insurgents,2000,4.67E-05,proscribed,split,,,,,,,,,,,,
,,,Singapore,,2254000,200,200,8.87E-05,proscribed,chinese,,,,,,,,,,,,
,,,Sri Lanka,CP/M; CP/P,13763000,2000; 1000,3000,0.000217976,legal; legal,split; split,,,,,,,,,,,,
,,,Thailand,,42298000,8000 insurgents,8000,0.000189134,proscribed,chinese,,,,,,,,,,,,
,,,North Vietnam,,24323000,900000,900000,0.037002015,In power,neutral,,,,,,,,,,,,
,,,South Vietnam,,20843000,180000,180000,0.008635993,In power,neutral,,,,,,,,,,,,
1976,Middle East and Africa,,Egypt,,37335000,500,500,1.34E-05,proscribed,soviet,,,,,,,,,,,,
,,,Iran,,33200000,1000,1000,3.01E-05,proscribed,soviet,,,,,,,,,,,,
,,,Iraq,,11024000,2000,2000,0.000181422,allowed,soviet,,,,,,,,,,,,
,,,Israel,,3372000,1500,1500,0.00044484,legal,soviet,,,,,,,,,,,,
,,,Jordan,,2708000,400,400,0.00014771,proscribed,soviet,,,,,,,,,,,,
,,,Lebanon,,2449000,3000,3000,0.00122499,legal,soviet,,,,,,,,,,,,
,,,Algeria,,16794000,400,400,2.38E-05,proscribed,soviet,,,,,,,,,,,,
,,,Morocco,,17274000,500,500,2.89E-05,allowed,soviet,,,,,,,,,,,,
,,,Tunisia,,5776000,100,100,1.73E-05,proscribed,soviet,,,,,,,,,,,,
,,,Reunion,,494000,800,800,0.001619433,legal,independent,,,,,,,,,,,,
,,,South Africa,,24964000,300,300,1.20E-05,proscribed,soviet,,,,,,,,,,,,
,,,Sudan,,18000000,3500,3500,0.000194444,proscribed,soviet,,,,,,,,,,,,
,,,Syria,,7345000,3500,3500,0.000476515,allowed,soviet,,,,,,,,,,,,
1976,The Americas,,Argentina,,25030000,147000,147000,0.005872952,legal,soviet,,,,,,,,,,,,
,,,Bolivia,,5272000,450,450,8.54E-05,proscribed,split,,,,,,,,,,,,
,,,Brazil,,107613000,7000,7000,6.50E-05,proscribed,split,,,,,,,,,,,,
,,,Canada,,22781000,2500,2500,0.000109741,legal,split,,,,,,,,,,,,
,,,Chile,,10584000,100000,100000,0.009448224,proscribed,soviet,,,,,,,,,,,,
,,,Colombia,,22217000,12000,12000,0.000540127,legal,split,,,,,,,,,,,,
,,,Costa Rica,,1968000,1500,1500,0.000762195,legal,soviet,,,,,,,,,,,,
,,,Cuba,,9252000,200000,200000,0.021616948,In power,soviet,,,,,,,,,,,,
,,,Dominican Republic,,4697000,1500,1500,0.000319353,proscribed,factions,,,,,,,,,,,,
,,,Ecuador,,6705000,600,600,8.95E-05,legal,split,,,,,,,,,,,,
,,,El Salvador,,4100000,175,175,4.27E-05,proscribed,soviet,,,,,,,,,,,,
,,,Guadeloupe,,352000,3000,3000,0.008522727,legal,soviet,,,,,,,,,,,,
,,,Guatemala,,5853000,750,750,0.000128139,proscribed,soviet,,,,,,,,,,,,
,,,Guyana,,811000,100,100,0.000123305,legal,soviet,,,,,,,,,,,,
,,,Haiti,,4569000,150,150,3.28E-05,proscribed,soviet,,,,,,,,,,,,
,,,Honduras,,2749000,750,750,0.000272826,proscribed,soviet,,,,,,,,,,,,
,,,Martinique,,347000,1000,1000,0.002881844,legal,soviet,,,,,,,,,,,,
,,,Mexico,,58075000,5000,5000,8.61E-05,legal,independent,,,,,,,,,,,,
,,,Nicaragua,,2153000,150,150,6.97E-05,proscribed,soviet,,,,,,,,,,,,
,,,Panama,,1668000,500,500,0.00029976,proscribed,soviet,,,,,,,,,,,,
,,,Paraguay,,2547000,3500,3500,0.001374166,proscribed,split,,,,,,,,,,,,
,,,Peru,,14819000,3200,3200,0.000215939,legal,split,,,,,,,,,,,,
,,,Puerto Rico,,900000,125,125,0.000138889,legal,soviet,,,,,,,,,,,,
,,,USA,,215000000,15000,15000,6.98E-05,legal,soviet,,,,,,,,,,,,
,,,Uruguay,,3064000,30000,30000,0.009791123,proscribed,soviet,,,,,,,,,,,,
,,,Venezuela,,11980000,6000,6000,0.000500835,legal,factions,,,,,,,,,,,,
1976,Western Europe,,Austria,,7575000,20000-25000,22500,0.002970297,legal,,Volksstimme; Weg und Ziel,70000; n/a,,,,,,,,,,
,,,Belgium,,10000000,13250,13250,0.001325,legal,,Le Drapeau Rouge; De Rode Vaan (Flemish); Cahiers Marxistes; L'Offensive,n/a; n/a; n/a; n/a,,,,,,,,,,
,,,Cyprus,,650000,12000-14000,13000,0.02,legal,,Kharavyi; Theoritikos Dimokratis; Neoi Kairoi; Ergatiko Vima; Dimokratia; Neolaia; To Vima,,,,,,,,,,,
,,,Denmark,,5200000,8000,8000,0.001538462,legal,,Land og Folk; Tiden-Verden Rund; Fremad,10000; n/a; n/a,,,,,,,,,,
,,,Finland,,4700000,48000,48000,0.010212766,legal,,Kansan Uutiset,,,,,,,,,,,
,,,France,,,450000,450000,,legal,,L'Humanite,,,,,,,,,,,
,,,West Germany,,60000000,45000,102000,0.0017,,,Unsere Zeit,60000,,,,,,,,,,
,,,West Berlin,,2100000,8000,8000,0.003809524,,,Die Wahrheit,15000,,,,,,,,,,
,,,Great Britain,,61000000,28519,28519,0.000467525,,,Morning Star,,,,,,,,,,,
,,,Greece,,9000000,25000-30000,27500,0.003055556,,,Avgi; Rizospastis; Kommounistiki Epitheorisi,,,,,,,,,,,
,,,Iceland,,218000,2500,2500,0.01146789,,,Thjodviljiin,,,,,,,,,,,
,,,Ireland,,N/A,N/A,N/A,,,,,,,,,,,,,,,
,,,Italy,,55700000,1700000,1700000,0.030520646,,,L'Unita,400000,,,,,,,,,,
,,,Luxembourg,,N/A,N/A,N/A,,,,,,,,,,,,,,,
,,,Netherlands,,13634000,10000,10000,0.00073346,,,De Waarheid,,,,,,,,,,,
,,,Norway,,4000000,2500,2500,0.000625,,,Friheten,,,,,,,,,,,
,,,Portugal,,N/A,N/A,N/A,,,,Avante,80000,,,,,,,,,,
,,,San Marino,,19000,300,300,0.015789474,,,,,,,,,,,,,,
,,,Spain,,35600000,25000,25000,0.000702247,,,,,,,,,,,,,,
,,,Sweden,,8000000,17000,17000,0.002125,,,Ny Dag,,,,,,,,,,,
,,,Switzerland,,6524000,5000-7000; 2000-4000,9000,0.001379522,,,Vorwarts; Voix Ouvriere; Il Lavoratore,12000; 8000; 1000,,,,,,,,,,
,,,Turkey,,N/A,N/A,N/A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1978,Eastern Europe and the Soviet Union (9),Asterisk,Albania,,2530000,101500 (as of 1976),101500,,In power,Anti-Soviet,,,,,99.9,1974,All 250,250,250,100,Democratic Front,
,,,Bulgaria,,8864000,789796,789796,,In power,Pro-Moscow,,,,,99.9,1976,272 of 400,272,400,68,Fatherland Front,
,,,Czechoslovakia,,15049000,1382860,1382860,,In power,Pro-Moscow,,,,,99.9,1976,All 200,200,200,100,National Front,
,,,East Germany (GDR),,16786000,2077262,2077262,,In power,Pro-Moscow,,,,,99.9,1976,127 of 500,127,500,25.4,National Front,
,,,Hungary,,10695000,765566,765566,,In power,Pro-Moscow,,,,,99.6,1975,All 352,352,352,100,Patriotic People's Front,
,,,Poland,,35000000,2573000,2573000,,In power,Pro-Moscow,,,,,99.4,1976,262 of 460,262,460,56.95652174,Front of National Unity,
,,Asterisk,Romania,,21559400,2700000,2700000,,In power,Neutral,,,,,99.9,1975,All 349,349,349,100,Front of Socialist Unity,
,,,USSR,,260178000,16203446,16203446,,In power,--,,,,,99.9,1974,All 1517,1517,1517,100,CPSU-approved,
,,,Yugoslavia,,21770000,1537000,1537000,,In power,Independent,,,,,N/A,1974,All 200,200,200,100,Socialist Alliance,
,Western Europe (24),Asterisk,Austria,,7520000,20000 est,20000,,Legal,Pro-Moscow,,,,,1.2,1975,None,0,N/A,#VALUE!,,
,,Asterisk,Belgium,,10000000,11000 est,11000,,Legal,Pro-Moscow,,,,,2.7,1975,2 of 212,2,212,0.943396226,,
,,,Cyprus,,640000,11000 est,11000,,Legal,Pro-Moscow,,,,,30,1976,9 of 35,9,35,25.71428571,Greek Cypriot seats,
,,Asterisk,Denmark,,5090000,8000 est,8000,,Legal,Pro-Moscow,,,,,3.7,1977,7 of 179,7,179,3.910614525,,
,,Asterisk,Faroe Islands,,42000,insignificant,0,,Allowed,Split,,,,,N/A,1975,None,0,N/A,#VALUE!,,
,,Asterisk,Finland,,4746000,48000,48000,,Legal,Pro-Moscow,,,,,19,1975,36 of 200,36,200,18,,
,,Asterisk,France,,53352000,600000 claim,600000,,Legal,Pro-Moscow,,,,,21.3,1973,73 of 490,73,490,14.89795918,,
,,Asterisk,Germany (FRG),,61520000,40000 est,40000,,Legal,Pro-Moscow,,,,,0.3,1976,None,0,N/A,#VALUE!,,
,,,West Berlin,,2100000,7500,7500,,Legal,Pro-Moscow,,,,,1.9,1975,None,0,N/A,#VALUE!,,
,,Asterisk,Great Britain,,56000000,25293 claim,25293,,Legal,Split,,,,,0.5,1974,None,0,N/A,#VALUE!,,
,,Asterisk,Greece,,9150000,27500 est,27500,,Legal,Split (3),,,,,9.3,1977,11 of 300,11,300,3.666666667,,
,,Asterisk,Iceland,,223000,2500 est,2500,,Legal,Independent,,,,,18.3,1974,11 of 60,11,60,18.33333333,,
,,,Ireland,,3199000,500 est,500,,Legal,Pro-Moscow,,,,,N/A,1977,None,0,N/A,#VALUE!,,
,,Asterisk,Italy,,58000000,1800000 claim,1800000,,Legal,Pro-Moscow,,,,,34.4,1976,228 of 630,228,630,36.19047619,,
,,Asterisk,Luxembourg,,356400,600 est,600,,Legal,Pro-Moscow,,,,,9,1974,5 of 59,5,59,8.474576271,,
,,Asterisk,Malta,,322000,100,100,,Legal,Pro-Moscow,,,,,N/A,1976,None,0,N/A,#VALUE!,,
,,Asterisk,Netherlands,,13869000,14500,14500,,Legal,Independent,,,,,1.7,1977,2 of 150,2,150,1.333333333,,
,,Asterisk,Norway,,4050000,1500 est,1500,,Legal,Pro-Moscow,,,,,4.2,1977,2 of 155,2,155,1.290322581,coalition of 3 (incl. CP),
,,Asterisk,Portugal,,9634000,115000,115000,,Legal,Pro-Moscow,,,,,14.6,1976,40 of 263,40,263,15.20912548,,
,,Asterisk,San Marino,,20000,300,300,,Legal,Pro-Moscow,,,,,23.7,1974,16 of 60,16,60,26.66666667,,
,,Asterisk,Spain,,36542000,200000 claim,200000,,Legal,Pro-Moscow,,,,,9.2,1977,20 of 350,20,350,5.714285714,,
,,Asterisk,Sweden,,8250000,17500 est,17500,,Legal,Split,,,,,5,1976,17 of 349,17,349,4.871060172,,
,,Asterisk,Switzerland,,6421000,5000 est,5000,,Legal,Pro-Moscow,,,,,2.5,1975,5 of 200,5,200,2.5,,
,,,Turkey,,42518000,26000 claim,26000,,Proscribed,Pro-Moscow,,,,,N/A,1977,,N/A,N/A,#VALUE!,,
1978,Asia and the Pacific (21),Asterisk,Australia,,13861000,1500 est,1500,,Legal,Split (3),,,,,N/A,1977,None,0,N/A,#VALUE!,,
,,Asterisk,Bangladesh,,78000000,2500 est,2500,,Proscribed,Split,,,,,N/A,1973,,N/A,N/A,#VALUE!,,
,,Asterisk,Burma,,31700000,10000 est,10000,,Proscribed,Pro-Peking,,,,,N/A,1974,,N/A,N/A,#VALUE!,,
,,Asterisk,Cambodia,,8060000,10000 est,10000,,In power,Pro-Peking,,,,,100,1976,All 250,250,250,100,,
,,,China,,950000000,35000000 claim,35000000,,In power,--,,,,,N/A,,No elections scheduled,N/A,N/A,#VALUE!,,
,,Asterisk,Hong Kong,,4563000,2000,2000,,Legal,Pro-Peking,,,,,N/A,,,N/A,N/A,#VALUE!,,
,,Asterisk,India,,649354000,90000 CPI est; 120000 CPI(M) (1974),210000,,Legal; Legal,Pro-Moscow; Neutral,,,,,2.8; 4.3,1977; 1977,7 of 244; 22 of 244,29,244,11.8852459,,
,,Asterisk,Indonesia,,139075000,1000 est,1000,,Proscribed,Split,,,,,N/A,1971,,N/A,N/A,#VALUE!,,
,,Asterisk,Japan,,113000000,370000 est,370000,,Legal,Independent,,,,,10.4,1976,17 of 511,17,511,3.326810176,,
,,Asterisk,Korea (DPRK),,17500000,1800000 claim,1800000,,In power,Neutral,,,,,100,1977,All 579,579,579,100,,
,,Asterisk,Laos,,3400000,15000 est,15000,,In power,Neutral,,,,,N/A,,No elections scheduled,N/A,N/A,#VALUE!,,
,,Asterisk,Malaysia,,12736000,2750000 insurgents,2750000,,Proscribed,Pro-Peking,,,,,N/A,1974,,N/A,N/A,#VALUE!,,
,,,Mongolia,,1561000,67000 claim,67000,,In power,Pro-Moscow,,,,,99.9,1973,All 336,336,336,100,,
,,,Nepal,,13199000,6500 est,6500,,Proscribed,Split,,,,,N/A,1959,,N/A,N/A,#VALUE!,,
,,Asterisk,New Zealand,,3100000,500 est,500,,Legal,Split,,,,,0.2,1975,None,0,N/A,#VALUE!,,
,,,Pakistan,,75657000,1500 est,1500,,Proscribed,Pro-Moscow (mostly),,,,,N/A,1977,,N/A,N/A,#VALUE!,,
,,Asterisk,Philippines,,40000000,2000 insurgents,2000,,Proscribed,Split,,,,,N/A,,Elections suspended,N/A,N/A,#VALUE!,,
,,,Singapore,,2400000,400 est,400,,Proscribed,Pro-Peking,,,,,N/A,1972,,N/A,N/A,#VALUE!,,
,,Asterisk,Sri Lanka,,14349000,5000 SLCP est; 1000 LSSP est,6000,,Legal; Legal,Pro-Moscow; Pro-Peking,,,,,1.9; 3.9,1977; 1977,None; None,N/A,N/A,#VALUE!,,
,,Asterisk,Thailand,,44790000,unknown,N/A,,Proscribed,Pro-Peking,,,,,N/A,1976,,N/A,N/A,#VALUE!,,
,,Asterisk,Vietnam,,51152000,1533500 claim,1533500,,In power,Neutral,,,,,99,1976,All 492,492,492,100,,
1978,The Americas (27),Asterisk,Argentina,,26224000,65000 est,65000,,Legal,Pro-Moscow,,,,,N/A,,No elections scheduled,N/A,N/A,#VALUE!,,
,,Asterisk,Bolivia,,5500500,500 est,500,,Proscribed,Split,,,,,N/A,,Elections scheduled 1978,N/A,N/A,#VALUE!,,
,,,Brazil,,110000000,4500 est,4500,,Proscribed,Split,,,,,N/A,1974,None,0,N/A,#VALUE!,,
,,Asterisk,Canada,,23437000,2000 est,2000,,Legal,Split,,,,,N/A,1974,None,0,N/A,#VALUE!,,
,,Asterisk,Chile,,10742000,unknown,N/A,,Proscribed,Pro-Moscow,,,,,N/A,,Elections promised,N/A,N/A,#VALUE!,,
,,Asterisk,Colombia,,24880000,12000 est,12000,,Legal,Split,,,,,N/A,1974,2 of 311,2,311,0.643086817,,
,,,Costa Rica,,2100000,1000 est,1000,,Legal,Pro-Moscow,,,,,2.3,1974,2 of 57,2,57,3.50877193,,
,,,Cuba,,9700000,204000 est,204000,,In power,Pro-Moscow,,,,,N/A,1976,441 of 481,441,481,91.68399168,,
,,Asterisk,Dominican Republic,,5051000,1000 est,1000,,Legal,Factions,,,,,N/A,1974,None,0,N/A,#VALUE!,,
,,,Ecuador,,7680000,800 est,800,,Legal,Split,,,,,N/A,,Elections scheduled 1978,N/A,N/A,#VALUE!,,
,,,El Salvador,,4310000,150 est,150,,Proscribed,Pro-Moscow,,,,,N/A,1976,,N/A,N/A,#VALUE!,,
,,Asterisk,Guadeloupe,,329000,3000 est,3000,,Legal,Pro-Moscow,,,,,N/A,1976,7 of 36,7,36,19.44444444,,
,,,Guatemala,,6183000,750 est,750,,Proscribed,Pro-Moscow,,,,,N/A,1974,,N/A,N/A,#VALUE!,,
,,,Guyana,,850000,unknown,N/A,,Legal,Pro-Moscow,,,,,3.6,1973,14 of 53,14,53,26.41509434,,
,,Asterisk,Haiti,,5000000,unknown,N/A,,Proscribed,Pro-Moscow,,,,,N/A,1973,,N/A,N/A,#VALUE!,,
,,Asterisk,Honduras,,2912000,650,650,,Proscribed,Split,,,,,N/A,,Elections scheduled 1979/80,N/A,N/A,#VALUE!,,
,,,Jamaica,,2130000,200 est,200,,Allowed,Pro-Moscow,,,,,N/A,1976,None,0,N/A,#VALUE!,,
,,,Martinique,,327000,1000 est,1000,,Legal,Pro-Moscow,,,,,N/A,1976,3 of 36,3,36,8.333333333,,
,,,Mexico,,64487000,60000 est,60000,,Legal,Pro-Moscow,,,,,N/A,1976,None,0,N/A,,,
,,,Nicaragua,,2224000,160 est,160,,Proscribed,Split,,,,,N/A,1974,,N/A,N/A,,,
,,,Panama,,1750000,425,425,,Allowed,Pro-Moscow,,,,,N/A,1972,None,0,N/A,,,
,,,Paraguay,,2700000,3500 est,3500,,Proscribed,Split,,,,,N/A,1973,,N/A,N/A,,,
,,Asterisk,Peru,,16579000,3200,3200,,Legal,Split,,,,,N/A,,Elections scheduled 1978,N/A,N/A,,,
,,,Puerto Rico,,3200000,125 est,125,,Legal,Pro-Moscow,,,,,N/A,1976,None,0,N/A,,,
,,Asterisk,United States,,217799000,18000 claimed,18000,,Legal,Pro-Moscow,,,,,0.2,1976,None,0,N/A,,,
